name,n_base,n_treat,median_base,median_treat,ratio,ci95_lo_pct,ci95_hi_pct,ci95_lo_bca,ci95_hi_bca
"S5 primary: kinf/k3",8,8,3525.0,575.0,6.130,4.038,9.750,4.200,10.636
"S5 primary: kinf/k2",8,8,3525.0,425.0,8.294,5.000,13.765,5.182,14.214
"S5 primary: kinf/k1p5",8,8,3525.0,325.0,10.846,6.933,16.714,7.125,19.500
"S5 primary: kinf/k1",8,8,3525.0,325.0,10.846,6.625,16.714,7.125,19.500
"mod-add primary: kinf/k1",8,8,100.0,100.0,1.000,1.000,1.000,1.000,1.000
"S5 grid d=128 L=2: kinf/k1",5,5,5550.0,350.0,15.857,5.889,22.800,6.222,22.833
"S5 grid d=128 L=4: kinf/k1",5,5,6600.0,300.0,22.000,16.000,38.600,14.625,38.600
"S5 grid d=256 L=2: kinf/k1",5,5,3950.0,250.0,15.800,13.167,25.800,12.833,25.800
"S5 grid d=256 L=4: kinf/k1",5,5,9550.0,250.0,38.200,26.667,42.000,31.400,42.000
"S5 grid d=512 L=2: kinf/k1",5,5,6500.0,400.0,16.250,8.417,28.833,8.417,28.833
"S5 grid d=512 L=4: kinf/k1",5,5,8050.0,300.0,26.833,14.333,39.167,19.125,39.167
"A5: kinf/k1",8,8,375.0,212.5,1.765,1.364,1.938,1.429,2.000
"D60: kinf/k1",5,5,100.0,75.0,1.333,1.000,1.667,1.000,1.667
"S5 depth-4 (gap battery): kinf/k1",5,5,7750.0,300.0,25.833,18.500,40.167,18.500,40.167
"S5 sphere-Muon: uncapped kinf / sphere",8,8,3525.0,375.0,9.400,6.562,16.417,6.500,15.154
"mod-add sphere-AdamW: unconstrained / sphere",5,8,3200.0,950.0,3.368,1.718,7.632,1.895,9.062
